epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7585585713386536,0.6081056594848633,0.01,0.8393285274505615,0.5218814611434937
1,0.851651668548584,0.46986645460128784,0.01,0.8872901797294617,0.41703134775161743
2,0.8822822570800781,0.3823539614677429,0.01,0.9064748287200928,0.3431006073951721
3,0.9147146940231323,0.31830012798309326,0.01,0.9280575513839722,0.28793978691101074
4,0.93633633852005,0.26984769105911255,0.01,0.9520383477210999,0.24659083783626556
5,0.948348343372345,0.23294632136821747,0.01,0.973621129989624,0.21517640352249146
6,0.9651651382446289,0.2036249041557312,0.01,0.9760192036628723,0.18930873274803162
7,0.966966986656189,0.18117265403270721,0.01,0.9760192036628723,0.16826702654361725
8,0.9681681394577026,0.1631779670715332,0.01,0.9832134246826172,0.15222710371017456
9,0.9705705642700195,0.14866282045841217,0.01,0.9832134246826172,0.13974571228027344
10,0.9723723530769348,0.1371169239282608,0.01,0.9808153510093689,0.12924546003341675
11,0.9735735654830933,0.12742480635643005,0.01,0.9832134246826172,0.12014421820640564
12,0.9741742014884949,0.11925145238637924,0.01,0.9760192036628723,0.11681535094976425
13,0.9795795679092407,0.11311490833759308,0.01,0.9832134246826172,0.10617201030254364
14,0.9783783555030823,0.10679104179143906,0.01,0.9832134246826172,0.10060108453035355
15,0.9795795679092407,0.10150115936994553,0.01,0.9784172773361206,0.09661801904439926
16,0.9801802039146423,0.09660758078098297,0.01,0.9784172773361206,0.09178471565246582
17,0.981381356716156,0.09237396717071533,0.01,0.9832134246826172,0.08724550157785416
18,0.9807807803153992,0.08854951709508896,0.01,0.9832134246826172,0.08367497473955154
19,0.981381356716156,0.08531229943037033,0.01,0.9832134246826172,0.08022744953632355
20,0.981381356716156,0.0822923332452774,0.01,0.9832134246826172,0.07732458412647247
21,0.9825825691223145,0.07957543432712555,0.01,0.9832134246826172,0.07451897859573364
22,0.981381356716156,0.07713251560926437,0.01,0.9832134246826172,0.07107941806316376
23,0.981381356716156,0.074832022190094,0.01,0.9832134246826172,0.06903406232595444
24,0.9819819927215576,0.07269369810819626,0.01,0.9832134246826172,0.06716876477003098
25,0.981381356716156,0.0706903263926506,0.01,0.9832134246826172,0.06563512980937958
26,0.9831832051277161,0.06884235143661499,0.01,0.9832134246826172,0.06394778937101364
27,0.9843843579292297,0.06724467873573303,0.01,0.9832134246826172,0.06236806511878967
28,0.9849849939346313,0.06564831733703613,0.01,0.9832134246826172,0.061312250792980194
29,0.9837837815284729,0.06420866400003433,0.01,0.9856114983558655,0.059807103127241135
30,0.9861862063407898,0.06285637617111206,0.01,0.9856114983558655,0.05853896215558052
31,0.9867867827415466,0.06164949759840965,0.01,0.9808153510093689,0.05733799934387207
32,0.9867867827415466,0.06043187156319618,0.01,0.9808153510093689,0.05604728311300278
33,0.9867867827415466,0.0592525415122509,0.01,0.9808153510093689,0.055259738117456436
34,0.9873873591423035,0.058161091059446335,0.01,0.9760192036628723,0.05749167129397392
35,0.9831832051277161,0.05740002542734146,0.01,0.9784172773361206,0.05480855330824852
36,0.9855855703353882,0.056253258138895035,0.01,0.9784172773361206,0.05338019132614136
37,0.9855855703353882,0.05520104244351387,0.01,0.9784172773361206,0.052122775465250015
38,0.9861862063407898,0.054290372878313065,0.01,0.9784172773361206,0.05102213844656944
39,0.9867867827415466,0.05344853550195694,0.01,0.9784172773361206,0.05022931843996048
40,0.9867867827415466,0.05263720452785492,0.01,0.9784172773361206,0.04940551146864891
41,0.9861862063407898,0.05183321237564087,0.01,0.9784172773361206,0.048725154250860214
42,0.9873873591423035,0.05106859654188156,0.01,0.9784172773361206,0.048320647329092026
43,0.9873873591423035,0.05036713182926178,0.01,0.9784172773361206,0.04765651002526283
44,0.9873873591423035,0.049590639770030975,0.01,0.9760192036628723,0.050673678517341614
45,0.9861862063407898,0.049301303923130035,0.01,0.9760192036628723,0.04831363633275032
46,0.9879879951477051,0.048383790999650955,0.01,0.9760192036628723,0.04658828303217888
47,0.9879879951477051,0.047651249915361404,0.01,0.9760192036628723,0.046067263931035995
48,0.9885885715484619,0.04707316309213638,0.01,0.9784172773361206,0.04526259005069733
49,0.9879879951477051,0.04642413556575775,0.01,0.9784172773361206,0.04470272362232208
50,0.9885885715484619,0.045948855578899384,0.01,0.9784172773361206,0.04370702803134918
51,0.9897897839546204,0.04530008137226105,0.01,0.9784172773361206,0.04365726187825203
52,0.9891892075538635,0.04479752853512764,0.01,0.9784172773361206,0.04597657918930054
53,0.9873873591423035,0.04450349137187004,0.01,0.9760192036628723,0.04365101084113121
54,0.9891892075538635,0.043798644095659256,0.01,0.9784172773361206,0.04263373836874962
55,0.9891892075538635,0.043332863599061966,0.01,0.9784172773361206,0.041787732392549515
56,0.9897897839546204,0.04275738447904587,0.01,0.9784172773361206,0.04113410785794258
57,0.990390419960022,0.042235687375068665,0.01,0.9784172773361206,0.041587427258491516
58,0.9891892075538635,0.04185440391302109,0.01,0.9784172773361206,0.040743544697761536
59,0.9897897839546204,0.0414656400680542,0.01,0.9784172773361206,0.03998449817299843
60,0.990390419960022,0.04108795151114464,0.01,0.9784172773361206,0.039956867694854736
61,0.9897897839546204,0.04059869423508644,0.01,0.9784172773361206,0.03936149552464485
62,0.9909909963607788,0.04018835723400116,0.01,0.9784172773361206,0.039229560643434525
63,0.9909909963607788,0.039825208485126495,0.01,0.9808153510093689,0.03868302330374718
64,0.990390419960022,0.039444450289011,0.01,0.9808153510093689,0.03838265314698219
65,0.9909909963607788,0.039117783308029175,0.01,0.9808153510093689,0.03840281069278717
66,0.990390419960022,0.03867723047733307,0.01,0.9808153510093689,0.03796466439962387
67,0.9897897839546204,0.03834163397550583,0.01,0.9832134246826172,0.0374336764216423
68,0.990390419960022,0.038044657558202744,0.01,0.9808153510093689,0.04128346964716911
69,0.9873873591423035,0.038064807653427124,0.01,0.9784172773361206,0.03850783035159111
70,0.9891892075538635,0.03741874173283577,0.01,0.9784172773361206,0.03763522580265999
71,0.990390419960022,0.03708162158727646,0.01,0.9784172773361206,0.0370694175362587
72,0.9897897839546204,0.03671079874038696,0.01,0.9832134246826172,0.035952042788267136
73,0.990390419960022,0.036409344524145126,0.01,0.9832134246826172,0.03589439392089844
74,0.9909909963607788,0.036060284823179245,0.01,0.9808153510093689,0.0359102301299572
75,0.9909909963607788,0.03576309606432915,0.01,0.9808153510093689,0.035833586007356644
76,0.9891892075538635,0.03543747588992119,0.01,0.9832134246826172,0.03483973443508148
77,0.9909909963607788,0.03517764434218407,0.01,0.9832134246826172,0.03472196310758591
78,0.9897897839546204,0.03494466841220856,0.01,0.9832134246826172,0.03429986163973808
79,0.9909909963607788,0.03467170149087906,0.01,0.9832134246826172,0.03446875140070915
80,0.990390419960022,0.03439371660351753,0.01,0.9832134246826172,0.03404379263520241
81,0.9915915727615356,0.034136056900024414,0.01,0.9832134246826172,0.03400840610265732
82,0.9909909963607788,0.03387971594929695,0.01,0.9832134246826172,0.03293278440833092
83,0.9915915727615356,0.03362135589122772,0.01,0.9904076457023621,0.029951950535178185
84,0.9897897839546204,0.03465784713625908,0.01,0.9904076457023621,0.03131426125764847
85,0.9921922087669373,0.03342732787132263,0.01,0.9832134246826172,0.03220923990011215
86,0.9909909963607788,0.03297802805900574,0.01,0.9808153510093689,0.0325213186442852
87,0.9927927851676941,0.032667458057403564,0.01,0.9808153510093689,0.03247002139687538
88,0.990390419960022,0.03243351727724075,0.01,0.9808153510093689,0.03218765929341316
